SentenceID,Sentence,Tone
1,"When the campus Wi-Fi crashed again, I muttered, 'Are you kidding me? This is bullshit.'","Frustrated"
2,"I'd been trying to push code for two hours, and the repo kept timing out.","Frustrated"
3,"'What the hell is wrong with this setup?'","Angry"
4,"My friend shrugged and said to reboot.","Neutral"
5,"I didâ€”nothing changed.","Disappointed"
6,"Another timeout.","Annoyed"
7,"Another wasted minute.","Annoyed"
8,"'This is crap,' I snapped.","Angry"
9,"'Who designed this damn network, a freaking potato?'","Sarcastic"
10,"By the third failure I was pissed.","Angry"
11,"The UI froze, the terminal hung, and my patience evaporated.","Frustrated"
12,"'Fix your bloody servers already!'","Angry"
13,"I hammered the Enter key like an idiot, knowing it wouldn't help.","Frustrated"
14,"A classmate chimed in: 'Calm down.'","Neutral"
15,"'Calm down? Screw that. I've got a deadline.'","Defensive"
16,"He smirked. 'Maybe your code sucks.'","Provocative"
17,"That did it.","Angry"
18,"'Shut the hell up,' I shot back.","Hostile"
19,"'I'm tired, I'm hungry, and this stupid network is a freaking nightmare.'","Exhausted"
20,"I took a breath, stared at the screen, and noticed a tiny warning: authentication token expired.","Reflective"
21,"'You've got to be kidding me.'","Realization"
22,"One refresh, one login, and suddenly everything worked.","Relieved"
23,"The push went through in seconds.","Satisfied"
24,"I slumped back, embarrassed.","Embarrassed"
25,"Maybe the system wasn't the only problem; maybe I'd been a jerk.","Self-reflective"
26,"I messaged the classmate: 'Sorry. I was frustrated.'","Apologetic"
27,"He replied with a thumbs-up and a link to a guide.","Accepting"
28,"I bookmarked it, whispered 'damn,' and promised myself to read the error messages before yelling at the void next time.","Resolved"
